"Id","Year","Appendix","Taxon","Class","Order","Family","Genus","Term","Quantity","Unit","Importer","Exporter","Origin","Purpose","Source","Reporter.type","Import.permit.RandomID","Export.permit.RandomID","Origin.permit.RandomID"
"2905431351",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",4,"Number of specimens","FR","CH","VN","T","C","E","","d018b44aaf","09ebdab408"
"9590638651",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","FR","CH","VN","T","C","E","","d018b44aaf","09ebdab408"
"7839498951",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",10,"Number of specimens","US","CH","VN","T","C","E","","9f2b52f040","8264946dfb"
"9334368251",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","US","CH","VN","T","C","E","","f6642b7fcb","515b532a2e"
"6845943951",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","US","CH","VN","T","C","E","","c507667219","675c8d2642"
"8006383551",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",36,"Number of specimens","JP","CH","VN","T","C","E","","1d977eb89f","f4f059ab57"
"2786040751",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",4,"Number of specimens","JP","CH","VN","T","C","E","","5e73bc080f","f4f059ab57"
"9117684751",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","US","CH","VN","T","C","E","","17bca42442","821bbd99b0"
"3717420551",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","3d38ba1414","6f7c915b0d"
"6045103351",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","55a147ff6a","8b55742820"
"6221346351",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","8776bf15a1","6f7c915b0d"
"2953022951",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","744a17fbb0","6f7c915b0d"
"7388230051",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","AU","CH","VN","T","C","E","","767f766630","5e71f3cf7b"
"7159504451",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","AE","CH","VN","T","C","E","","27bf609ad6","675c8d2642"
"7533278151",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","QA","CH","VN","T","C","E","","0c04ff0602","675c8d2642"
"9867684151",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","QA","CH","VN","T","C","E","","20ad648280","c4de69a631"
"6575889251",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","TR","CH","VN","T","C","E","","6853fb48eb","7db28c17ec"
"8442234651",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",4,"Number of specimens","FR","CH","VN","T","C","E","","320d2f3498","821bbd99b0"
"2120672351",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","320d2f3498","af23398e2e"
"2021908251",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","AU","CH","VN","T","C","E","","7958a7d626","5e71f3cf7b"
"1003305951",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","d32bd77f88","4c5c04d751"
"2952707651",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","TR","CH","VN","T","C","E","","4a262d7eef","7db28c17ec"
"8392937251",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","ea1ce9b64e","a64b1cb7fc"
"5507834651",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","b80a3a06b0","6f7c915b0d"
"7268550351",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",6,"Number of specimens","FR","CH","VN","T","C","E","","86480594a3","0efc9ba2cf"
"9798799251",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","US","CH","VN","T","C","E","","04a34fd5a9","7db28c17ec"
"5335784251",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","6a4bf7ac6b","7db28c17ec"
"9010896451",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","d359cc3f36","7db28c17ec"
"6486155351",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","b78fa8cd81","7db28c17ec"
"6820942451",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","28538fd8a8","7db28c17ec"
"7601082051",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","KW","CH","VN","T","C","E","","ce1b4b472a","7db28c17ec"
"1813815251",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","6c6267a69f","7db28c17ec"
"9574624051",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","a266c6b372","7db28c17ec"
"8307061251",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","f6560dd404","7db28c17ec"
"9835892751",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","c608ee16ed","7db28c17ec"
"1056617451",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","e6db50add8","7db28c17ec"
"2925341951",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","afc18ea35c","7db28c17ec"
"6525253051",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","18816fea81","7db28c17ec"
"1111326651",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","eb7ca2b145","7db28c17ec"
"5057455751",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","9b0eccfe38","7db28c17ec"
"7298045551",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","SG","CH","VN","T","C","E","","a8ede06117","7db28c17ec"
"9146183251",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",4,"Number of specimens","HK","CH","VN","T","C","E","","8d452e7f15","7db28c17ec"
"6502290851",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","TW","CH","VN","T","C","E","","ffa2360bb7","7db28c17ec"
"7366456551",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","AU","CH","VN","T","C","E","","e5aa8ca8dd","7db28c17ec"
"9454791151",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","AE","CH","VN","T","C","E","","da0a96a84d","5e71f3cf7b"
"1426585051",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","c5b61c9d72","7db28c17ec"
"6478386951",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","US","CH","VN","T","C","E","","0303f28e11","7db28c17ec"
"9860379451",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",5,"Number of specimens","JP","CH","VN","T","C","E","","1934e1db77","7db28c17ec"
"8508334151",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",3,"Number of specimens","US","CH","VN","T","C","E","","17c6632f1c","7db28c17ec"
